Line_name,Program_name,Group,Pedigree,Note,Family
06AB-08,04AB013-79,S2TP,Crystal/Merit,,
06AB-32,04AB088-46,S2TP,85Ab2323/FR96503,,
06MT-93,MT050236,S2TP,CDC_STRATUS/MT960225,,
06N2-02,2ND21089,S2TP,ND18172/ND18076,,
06N2-14,2ND23146,S2TP,ND18187//ND18370/ND19119-1,,
06N2-15,2ND23164,S2TP,ND19012/ND19929,,
06N2-23,2ND24186,S2TP,ND19130/ND19119-5,,
06N2-26,2ND24205,S2TP,ND19852-1/ND20790,,
06N2-31,2ND24238,S2TP,ND19854//ND20028/ND19119-1,,
06N2-35,2ND24259,S2TP,ND19869-1//ND17274/ND19119,,
06N2-47,2ND24341,S2TP,ND19845/C2-01-233-8-1,,
06N2-49,2ND24365,S2TP,ND18172-1/ND19974//ND20040-1,,
06N2-51,2ND24379,S2TP,ND20824//ND20028/ND19119-1,,
06N2-53,2ND24385,S2TP,ND17274/ND19119//ND19854,,
06N2-54,2ND24388,S2TP,ND17274/ND19119//ND19854,,
06N2-56,2ND24393,S2TP,ND17274/ND19119//ND19854,,
06N2-64,2ND24424,S2TP,MUNDA 5/ND19119-1//ND21099,,
06N2-67,2ND24434,S2TP,Shenmai 3/ND19119-1//ND21099,,
06N2-79,2ND24510,S2TP,ND19119-5*2/ZAU 7,,
06N2-81,2ND24519,S2TP,ND19922/ND19130,,
06WA-38,03WA-119.4,S2TP,Farmington/Jersey,,
06WA-39,04WA-118.11,S2TP,CEV 96053/Merit,,
06WA-58,04WA-102.43,S2TP,Farmington/Baronesse,,
06WA-90,04WNZ-128,S2TP,Farmington/Baronesse,,
07AB-51,2AB04-X00017-4,S2TP,97Ab6361/95Ab11469,,
07AB-55,2AB04-X00022-4,S2TP,98Ab11865/Crystal,,
07AB-56,2AB04-X00026-2,S2TP,98Ab12044/98Ab11993,,
07AB-59,2AB04-X00027-9,S2TP,98Ab12044/Garnet,,
07AB-63,2AB04-X00103-4,S2TP,Garnet/98Ab11865,,
07AB-80,2AB04-X01082-10,S2TP,98Ab11865/Garnet,,
07AB-81,2AB04-X01082-12,S2TP,98Ab11865/Garnet,,
